phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
0.525,0.2,1538.2234859265366,0.04903709800746524,0.11028889330650461,1.3697675065961349e-06,0.000959181910531371,3.0751979023357164e-06,9.288198938507522e-05,1.121856822188567e-06,0.09377648642081737
0.55,0.2,1585.275602669741,0.05123553746861383,0.11521574365498964,2.822662466404996e-06,0.0011503638265377852,3.139601658180194e-06,0.00013653257925709804,2.1573937853444397e-06,0.08847293802394163
0.575,0.2,1631.4829654675375,0.05342088034345049,0.12010786029570719,5.538187500265926e-06,0.0013558139860871898,3.176232446961363e-06,0.00019478320914154896,3.973438612953774e-06,0.08318607457593583
0.6,0.2,1676.8530562047843,0.05559220869433982,0.12496326079580419,1.0402328131510544e-05,0.0015725702424871188,3.1846099773243366e-06,0.00027047175313223913,7.042346744558951e-06,0.07791692136547054
0.625,0.2,1721.3881659788615,0.05774807463802896,0.1297796393144346,1.879272267432611e-05,0.0017970501951670103,3.1645105383551773e-06,0.0003664349475887768,1.2060952412111284e-05,0.07266714729580172
0.65,0.2,1765.0841809168528,0.05988627934780523,0.13455433109204662,3.2788707454012634e-05,0.002025060203197203,3.1159523325499914e-06,0.0004853516573500405,2.0032535322881754e-05,0.06743925803089787
0.675,0.2,1807.9289632961734,0.062003581021072625,0.13928426062952204,5.544890702117964e-05,0.002251798859175638,3.039191799270609e-06,0.0006295507334206362,3.237222844786949e-05,0.06223685519912699
0.7,0.2,1849.9002142477966,0.06409531359541505,0.143965866465854,9.11734741021409e-05,0.0024718539392650906,2.9347328135765194e-06,0.0008007785808388074,5.104240784558155e-05,0.057064977571159685
0.725,0.2,1890.9626627592863,0.06615489302541613,0.14859499296792106,0.00014617269469399392,0.0026791934259919347,2.8033511322863584e-06,0.0009999197099448173,7.872735212111609e-05,0.05193054354544466
0.75,0.2,1931.0643606730662,0.06817318083463994,0.15316673524238095,0.000229070241252366,0.00286715330593921,2.646137061869138e-06,0.0012266615635579796,0.00011906085526984385,0.04684291906558932
